elapsed_seconds,scenario_label,raw_yaw,raw_pitch,raw_roll,yaw,pitch,roll,yaw_suspicious,pitch_suspicious,roll_suspicious,dropout_suspicious,gaze_suspicious,suspicious,gaze_x,gaze_y,gaze_valid,device_detected,risk_level
197.16,,0.15,-174.09,-2.22,-0.53,0.84,-0.19,False,False,False,False,False,False,-0.0,-0.007,True,False,LOW
197.181,,-0.17,-173.63,-2.36,-0.57,0.89,-0.21,False,False,False,False,False,False,-0.006,-0.004,True,False,LOW
197.276,,-0.16,-174.65,-2.2,-0.67,0.66,-0.19,False,False,False,False,False,False,-0.009,-0.007,True,False,LOW
197.3,,-0.9,-174.24,-2.25,-0.79,0.67,-0.2,False,False,False,False,False,False,-0.004,-0.009,True,False,LOW
197.397,,-0.6,-174.02,-2.17,-0.98,0.76,-0.18,False,False,False,False,False,False,-0.001,-0.007,True,False,LOW
197.421,,-0.68,-174.18,-2.14,-1.03,0.76,-0.17,False,False,False,False,False,False,-0.001,-0.007,True,False,LOW
197.511,,-0.45,-174.11,-2.18,-1.07,0.78,-0.16,False,False,False,False,False,False,0.0,-0.004,True,False,LOW
197.535,,-0.95,-174.04,-2.19,-1.15,0.8,-0.16,False,False,False,False,False,False,0.001,-0.006,True,False,LOW
197.707,,-1.08,-174.26,-2.24,-1.47,0.73,-0.19,False,False,False,False,False,False,0.008,-0.006,True,False,LOW
197.735,,-0.62,-174.88,-2.26,-1.44,0.63,-0.19,False,False,False,False,False,False,-0.013,-0.01,True,False,LOW
197.901,,-0.51,-173.78,-2.23,-1.31,0.89,-0.2,False,False,False,False,False,False,-0.018,-0.013,True,False,LOW
197.928,,-0.81,-174.06,-2.39,-1.34,0.89,-0.22,False,False,False,False,False,False,-0.018,-0.014,True,False,LOW
198.108,,-0.96,-174.14,-2.32,-1.5,0.84,-0.26,False,False,False,False,False,False,-0.005,-0.008,True,False,LOW
198.136,,-0.88,-173.35,-2.32,-1.51,0.95,-0.26,False,False,False,False,False,False,-0.003,-0.009,True,False,LOW
198.301,,-1.12,-173.66,-2.26,-1.66,1.11,-0.25,False,False,False,False,False,False,-0.002,-0.009,True,False,LOW
198.327,,-0.91,-173.88,-2.22,-1.65,1.1,-0.24,False,False,False,False,False,False,0.002,-0.007,True,False,LOW
198.508,,-1.12,-174.31,-2.12,-1.73,0.85,-0.16,False,False,False,False,False,False,-0.037,-0.011,True,False,LOW
198.535,,-0.61,-173.76,-2.18,-1.67,0.89,-0.16,False,False,False,False,False,False,-0.029,-0.011,True,False,LOW
198.699,,-0.22,-173.49,-2.15,-1.27,1.17,-0.14,False,False,False,False,False,False,-0.027,-0.012,True,False,LOW
198.727,,-0.35,-173.89,-2.02,-1.24,1.15,-0.12,False,False,False,False,False,False,-0.02,-0.013,True,False,LOW
198.909,,-0.32,-173.58,-2.04,-1.11,1.26,-0.06,False,False,False,False,False,False,-0.019,-0.013,True,False,LOW
