elapsed_seconds,scenario_label,raw_yaw,raw_pitch,raw_roll,yaw,pitch,roll,yaw_suspicious,pitch_suspicious,roll_suspicious,dropout_suspicious,gaze_suspicious,suspicious,gaze_x,gaze_y,gaze_valid,device_detected,risk_level
19.075,,9.0,-172.06,-1.73,-0.09,-0.35,0.17,False,False,False,False,False,False,-0.002,-0.005,True,False,LOW
19.096,,8.86,-171.59,-1.76,-0.1,-0.29,0.17,False,False,False,False,False,False,0.002,-0.007,True,False,LOW
19.187,,8.88,-172.16,-1.81,-0.14,-0.35,0.14,False,False,False,False,False,False,0.002,-0.004,True,False,LOW
19.209,,8.74,-172.2,-1.83,-0.16,-0.37,0.13,False,False,False,False,False,False,0.001,-0.004,True,False,LOW
19.301,,8.87,-172.11,-1.77,-0.18,-0.38,0.13,False,False,False,False,False,False,0.001,-0.006,True,False,LOW
19.323,,8.65,-171.95,-1.81,-0.21,-0.36,0.13,False,False,False,False,False,False,0.0,-0.004,True,False,LOW
19.419,,8.3,-171.92,-1.73,-0.43,-0.3,0.14,False,False,False,False,False,False,-0.001,-0.005,True,False,LOW
19.441,,8.43,-172.08,-1.86,-0.46,-0.31,0.13,False,False,False,False,False,False,0.0,-0.006,True,False,LOW
19.63,,8.66,-172.19,-1.8,-0.44,-0.4,0.11,False,False,False,False,False,False,-0.003,-0.005,True,False,LOW
19.653,,8.1,-172.02,-1.96,-0.51,-0.39,0.09,False,False,False,False,False,False,-0.001,-0.002,True,False,LOW
19.831,,9.26,-171.94,-1.68,-0.15,-0.31,0.16,False,False,False,False,False,False,-0.001,-0.005,True,False,LOW
19.855,,8.54,-172.15,-1.96,-0.2,-0.32,0.13,False,False,False,False,False,False,-0.001,-0.002,True,False,LOW
20.033,,9.1,-171.93,-1.82,-0.09,-0.27,0.1,False,False,False,False,False,False,0.003,-0.007,True,False,LOW
20.056,,8.4,-172.05,-1.77,-0.17,-0.28,0.11,False,False,False,False,False,False,0.007,-0.007,True,False,LOW
20.22,,8.69,-172.22,-1.72,-0.28,-0.4,0.14,False,False,False,False,False,False,0.007,-0.004,True,False,LOW
20.243,,8.39,-172.75,-1.73,-0.34,-0.48,0.15,False,False,False,False,False,False,0.012,-0.006,True,False,LOW
20.431,,8.04,-172.06,-1.61,-0.73,-0.41,0.22,False,False,False,False,False,False,0.015,-0.005,True,False,LOW
