elapsed_seconds,scenario_label,raw_yaw,raw_pitch,raw_roll,yaw,pitch,roll,yaw_suspicious,pitch_suspicious,roll_suspicious,dropout_suspicious,gaze_suspicious,suspicious,gaze_x,gaze_y,gaze_valid,device_detected,risk_level
289.738,,5.29,178.85,-1.17,1.05,-2.84,-0.21,False,False,False,False,False,False,-0.009,0.002,True,False,LOW
289.762,,5.04,-179.16,-1.04,1.02,-2.56,-0.19,False,False,False,False,False,False,-0.015,-0.0,True,False,LOW
289.88,,4.43,-178.53,-1.14,0.66,-1.51,-0.19,False,False,False,False,False,False,-0.012,-0.001,True,False,LOW
289.904,,4.51,-179.79,-1.26,0.61,-1.5,-0.2,False,False,False,False,False,False,-0.009,-0.001,True,False,LOW
290.058,,5.48,-178.92,-1.16,0.92,-1.05,-0.2,False,False,False,False,False,False,-0.005,-0.004,True,False,LOW
290.082,,6.5,-179.7,-1.07,1.1,-1.09,-0.19,False,False,False,False,False,False,-0.004,-0.009,True,False,LOW
290.27,,6.32,-179.52,-1.43,1.64,-1.16,-0.34,False,False,False,False,False,False,-0.001,-0.01,True,False,LOW
290.296,,5.37,179.07,-1.56,1.57,-1.37,-0.38,False,False,False,False,False,False,0.005,-0.001,True,False,LOW
290.459,,4.88,179.53,-1.46,1.09,-1.78,-0.44,False,False,False,False,False,False,0.003,-0.0,True,False,LOW
290.482,,4.6,-179.2,-1.26,1.0,-1.67,-0.42,False,False,False,False,False,False,-0.003,-0.003,True,False,LOW
290.659,,4.73,-178.76,-1.25,0.73,-1.02,-0.35,False,False,False,False,False,False,-0.004,0.0,True,False,LOW
290.685,,4.62,-178.2,-1.22,0.68,-0.85,-0.34,False,False,False,False,False,False,-0.004,0.0,True,False,LOW
290.845,,4.87,-178.54,-1.49,0.65,-0.53,-0.44,False,False,False,False,False,False,-0.049,0.007,True,False,LOW
290.869,,6.08,-179.86,-1.61,0.81,-0.67,-0.46,False,False,False,False,False,False,-0.098,0.028,True,False,LOW
291.056,,6.14,-178.92,-1.65,1.41,-0.64,-0.59,False,False,False,False,False,False,-0.053,0.007,True,False,LOW
291.079,,5.3,-178.17,-1.7,1.36,-0.54,-0.61,False,False,False,False,False,False,-0.026,0.004,True,False,LOW
291.246,,4.74,-178.46,-1.56,0.92,-0.34,-0.6,False,False,False,False,False,False,-0.014,0.001,True,False,LOW
291.27,,5.31,-178.99,-1.22,0.94,-0.38,-0.56,False,False,False,False,False,False,0.003,-0.002,True,False,LOW
291.455,,5.79,-179.41,-1.31,1.27,-0.77,-0.45,False,False,False,False,False,False,0.02,-0.006,True,False,LOW
291.478,,5.89,-179.04,-1.34,1.32,-0.76,-0.44,False,False,False,False,False,False,0.026,-0.01,True,False,LOW
291.647,,6.26,-179.8,-1.44,1.68,-1.14,-0.46,False,False,False,False,False,False,0.033,-0.01,True,False,LOW
291.672,,5.71,179.42,-1.41,1.66,-1.3,-0.46,False,False,False,False,False,False,0.035,-0.015,True,False,LOW
291.854,,5.31,179.6,-1.33,1.34,-1.73,-0.41,False,False,False,False,False,False,0.033,-0.013,True,False,LOW
291.877,,4.97,-179.69,-1.53,1.26,-1.68,-0.43,False,False,False,False,False,False,-0.007,-0.004,True,False,LOW
292.045,,4.38,-177.77,-1.73,0.68,-0.52,-0.61,False,False,False,False,False,False,-0.003,-0.007,True,False,LOW
292.069,,4.5,-176.82,-1.4,0.62,-0.23,-0.58,False,False,False,False,False,False,-0.0,-0.007,True,False,LOW
292.252,,6.05,-178.31,-0.99,1.26,-0.11,-0.29,False,False,False,False,False,False,-0.006,-0.005,True,False,LOW
292.274,,6.1,-178.91,-1.24,1.33,-0.17,-0.29,False,False,False,False,False,False,-0.009,-0.004,True,False,LOW
292.44,,6.19,-178.62,-1.3,1.65,-0.24,-0.31,False,False,False,False,False,False,-0.019,-0.005,True,False,LOW
292.464,,6.37,-177.84,-1.11,1.72,-0.14,-0.29,False,False,False,False,False,False,-0.017,-0.006,True,False,LOW
292.65,,5.62,-177.56,-1.1,1.53,0.35,-0.21,False,False,False,False,False,False,-0.016,-0.003,True,False,LOW
292.673,,5.66,-178.69,-0.73,1.52,0.25,-0.15,False,False,False,False,False,False,0.042,-0.003,True,False,LOW
292.843,,6.75,-177.99,-1.02,2.04,0.29,-0.1,False,False,False,False,False,False,0.022,-0.002,True,False,LOW
292.867,,7.07,-178.2,-1.21,2.15,0.26,-0.12,False,False,False,False,False,False,0.005,-0.004,True,False,LOW
293.054,,6.29,-176.48,-0.98,2.09,1.12,-0.07,False,False,False,False,False,False,0.009,0.002,True,False,LOW
293.077,,4.5,-176.65,-1.05,1.85,1.19,-0.07,False,False,False,False,False,False,0.007,-0.003,True,False,LOW
293.242,,4.47,-176.0,-1.07,1.0,1.77,-0.09,False,False,False,False,False,False,-0.001,-0.007,True,False,LOW
293.265,,5.06,-176.27,-1.27,0.98,1.81,-0.12,False,False,False,False,False,False,-0.008,-0.011,True,False,LOW
293.452,,5.53,-176.13,-1.03,1.15,2.01,-0.09,False,False,False,False,False,False,-0.01,-0.009,True,False,LOW
293.475,,7.67,-177.34,-1.13,1.45,1.88,-0.1,False,False,False,False,False,False,-0.005,-0.009,True,False,LOW
293.642,,6.85,-176.08,-0.96,2.06,2.06,-0.05,False,False,False,False,False,False,-0.005,-0.003,True,False,LOW
