elapsed_seconds,scenario_label,raw_yaw,raw_pitch,raw_roll,yaw,pitch,roll,yaw_suspicious,pitch_suspicious,roll_suspicious,dropout_suspicious,gaze_suspicious,suspicious,gaze_x,gaze_y,gaze_valid,device_detected,risk_level
25.485,,0.15,-171.23,-2.6,0.21,0.33,-0.02,False,False,False,False,False,False,-0.003,0.001,True,False,LOW
25.507,,-0.02,-171.19,-2.49,0.19,0.33,-0.01,False,False,False,False,False,False,-0.002,0.0,True,False,LOW
25.617,,-0.31,-170.65,-2.51,0.01,0.57,0.02,False,False,False,False,False,False,0.002,0.002,True,False,LOW
25.641,,-0.02,-170.57,-2.46,0.01,0.63,0.04,False,False,False,False,False,False,0.001,-0.003,True,False,LOW
25.755,,-0.07,-170.71,-2.49,0.0,0.72,0.06,False,False,False,False,False,False,-0.001,-0.001,True,False,LOW
25.778,,-0.35,-170.99,-2.51,-0.04,0.7,0.06,False,False,False,False,False,False,-0.001,-0.003,True,False,LOW
25.954,,-0.14,-170.74,-2.47,-0.06,0.76,0.09,False,False,False,False,False,False,0.002,-0.011,True,False,LOW
25.982,,-0.67,-171.06,-2.44,-0.14,0.72,0.09,False,False,False,False,False,False,-0.001,-0.01,True,False,LOW
26.141,,-1.0,-170.38,-2.74,-0.55,0.95,-0.03,False,False,False,False,False,False,-0.001,-0.009,True,False,LOW
26.169,,-0.51,-169.13,-2.76,-0.53,1.19,-0.05,False,False,False,False,False,False,-0.002,-0.009,True,False,LOW
26.346,,-0.51,-170.13,-2.89,-0.49,1.32,-0.19,False,False,False,False,False,False,-0.004,-0.008,True,False,LOW
26.37,,-0.67,-171.37,-2.62,-0.51,1.17,-0.17,False,False,False,False,False,False,0.039,-0.017,True,False,LOW
26.545,,0.56,-170.07,-2.5,0.09,1.34,-0.04,False,False,False,False,False,False,0.045,-0.017,True,False,LOW
26.569,,0.31,-170.38,-2.6,0.13,1.32,-0.04,False,False,False,False,False,False,0.042,-0.014,True,False,LOW
26.751,,-0.31,-169.99,-2.54,-0.07,1.45,0.0,False,False,False,False,False,False,0.035,-0.008,True,False,LOW
26.776,,0.26,-170.67,-2.52,-0.02,1.37,0.01,False,False,False,False,False,False,0.032,0.005,True,False,LOW
26.946,,0.1,-170.73,-2.41,0.07,1.09,0.09,False,False,False,False,False,False,0.026,0.002,True,False,LOW
26.969,,0.87,-170.73,-2.62,0.19,1.06,0.08,False,False,False,False,False,False,0.031,0.053,False,False,LOW
27.162,,0.83,-170.93,-2.43,0.58,0.82,0.12,False,False,False,False,False,False,0.021,-0.002,True,False,LOW
27.185,,1.51,-170.71,-2.34,0.71,0.82,0.13,False,False,False,False,False,False,0.02,-0.007,True,False,LOW
27.344,,2.44,-170.67,-2.19,1.64,0.86,0.26,False,False,False,False,False,False,-0.0,-0.005,True,False,LOW
27.367,,2.49,-171.18,-2.12,1.76,0.8,0.29,False,False,False,False,False,False,0.003,-0.005,True,False,LOW
27.546,,2.16,-171.77,-2.15,2.01,0.26,0.36,False,False,False,False,False,False,0.004,-0.006,True,False,LOW
27.569,,2.13,-171.44,-2.31,2.03,0.24,0.35,False,False,False,False,False,False,0.004,-0.007,True,False,LOW
27.744,,1.62,-171.87,-2.46,1.85,-0.05,0.23,False,False,False,False,False,False,0.009,-0.009,True,False,LOW
27.769,,1.52,-171.85,-2.6,1.81,-0.09,0.2,False,False,False,False,False,False,0.01,-0.005,True,False,LOW
27.95,,0.93,-170.87,-2.47,1.37,0.33,0.15,False,False,False,False,False,False,0.011,-0.004,True,False,LOW
27.973,,1.43,-170.87,-2.31,1.39,0.37,0.17,False,False,False,False,False,False,0.015,-0.008,True,False,LOW
28.141,,1.02,-171.69,-2.32,1.23,0.11,0.21,False,False,False,False,False,False,0.013,-0.006,True,False,LOW
28.163,,1.57,-170.93,-2.3,1.28,0.18,0.22,False,False,False,False,False,False,0.011,-0.006,True,False,LOW
28.347,,1.36,-171.79,-2.38,1.35,-0.04,0.21,False,False,False,False,False,False,0.008,-0.006,True,False,LOW
28.37,,1.63,-171.83,-2.26,1.4,-0.07,0.22,False,False,False,False,False,False,0.005,-0.005,True,False,LOW
28.543,,1.33,-171.74,-2.17,1.39,-0.13,0.32,False,False,False,False,False,False,0.006,-0.005,True,False,LOW
28.566,,1.34,-171.71,-2.18,1.39,-0.13,0.33,False,False,False,False,False,False,0.006,-0.005,True,False,LOW
28.756,,1.38,-171.38,-2.17,1.42,0.04,0.37,False,False,False,False,False,False,0.007,-0.003,True,False,LOW
28.78,,1.08,-171.05,-2.06,1.38,0.1,0.39,False,False,False,False,False,False,0.027,-0.006,True,False,LOW
28.951,,1.4,-172.01,-2.16,1.42,-0.18,0.41,False,False,False,False,False,False,0.029,-0.006,True,False,LOW
28.975,,1.47,-171.18,-2.26,1.44,-0.11,0.4,False,False,False,False,False,False,0.012,-0.002,True,False,LOW
29.162,,1.55,-171.76,-2.34,1.53,-0.16,0.31,False,False,False,False,False,False,0.007,-0.003,True,False,LOW
29.185,,1.51,-171.03,-2.33,1.54,-0.07,0.3,False,False,False,False,False,False,0.009,-0.004,True,False,LOW
29.351,,1.49,-171.38,-2.3,1.54,0.06,0.29,False,False,False,False,False,False,0.006,-0.004,True,False,LOW
29.376,,1.39,-171.43,-2.29,1.53,0.07,0.29,False,False,False,False,False,False,0.02,-0.003,True,False,LOW
29.559,,1.3,-171.97,-2.27,1.44,-0.19,0.3,False,False,False,False,False,False,0.019,-0.005,True,False,LOW
29.583,,1.14,-171.21,-2.39,1.41,-0.12,0.29,False,False,False,False,False,False,0.024,-0.008,True,False,LOW
29.748,,1.26,-171.85,-2.34,1.36,-0.2,0.26,False,False,False,False,False,False,0.036,-0.009,True,False,LOW
29.771,,1.39,-170.89,-2.35,1.37,-0.09,0.26,False,False,False,False,False,False,0.042,-0.012,True,False,LOW
30.054,,1.4,-171.2,-2.27,1.43,0.2,0.29,False,False,False,False,False,False,0.05,-0.011,True,False,LOW
30.076,,1.51,-171.53,-2.22,1.45,0.18,0.3,False,False,False,False,False,False,0.052,-0.013,True,False,LOW
30.18,,1.01,-171.45,-2.22,1.3,0.15,0.32,False,False,False,False,False,False,0.05,-0.013,True,False,LOW
30.205,,1.05,-171.13,-2.28,1.27,0.19,0.32,False,False,False,False,False,False,0.05,-0.015,True,False,LOW
30.349,,1.04,-171.18,-2.29,1.19,0.28,0.31,False,False,False,False,False,False,0.018,-0.007,True,False,LOW
30.371,,0.98,-171.28,-2.27,1.17,0.28,0.31,False,False,False,False,False,False,0.019,-0.008,True,False,LOW
30.544,,0.87,-171.46,-2.28,1.04,0.19,0.3,False,False,False,False,False,False,0.018,-0.009,True,False,LOW
30.568,,1.0,-171.2,-2.26,1.05,0.21,0.31,False,False,False,False,False,False,0.023,-0.008,True,False,LOW
