elapsed_seconds,scenario_label,raw_yaw,raw_pitch,raw_roll,yaw,pitch,roll,yaw_suspicious,pitch_suspicious,roll_suspicious,dropout_suspicious,gaze_suspicious,suspicious,gaze_x,gaze_y,gaze_valid,device_detected,risk_level
18.834,,3.54,-176.49,-1.21,0.0,-0.46,-0.06,False,False,False,False,False,False,0.01,-0.003,True,False,LOW
18.855,,2.35,-176.48,-1.43,-0.14,-0.46,-0.09,False,False,False,False,False,False,0.019,-0.005,True,False,LOW
18.96,,2.88,-175.65,-1.17,-0.35,-0.12,-0.06,False,False,False,False,False,False,0.012,-0.003,True,False,LOW
18.985,,2.75,-174.43,-1.15,-0.42,0.13,-0.05,False,False,False,False,False,False,0.014,-0.002,True,False,LOW
19.09,,2.63,-174.64,-1.1,-0.62,0.66,-0.01,False,False,False,False,False,False,0.013,-0.002,True,False,LOW
19.115,,2.94,-175.05,-1.1,-0.62,0.7,-0.0,False,False,False,False,False,False,0.007,-0.005,True,False,LOW
19.219,,2.66,-175.46,-1.08,-0.72,0.65,0.03,False,False,False,False,False,False,0.005,-0.005,True,False,LOW
19.243,,2.64,-175.32,-1.09,-0.75,0.66,0.03,False,False,False,False,False,False,0.007,-0.006,True,False,LOW
19.4,,2.65,-175.05,-1.2,-0.82,0.82,-0.01,False,False,False,False,False,False,-0.002,-0.005,True,False,LOW
19.423,,2.63,-175.66,-1.35,-0.83,0.76,-0.03,False,False,False,False,False,False,-0.003,-0.006,True,False,LOW
19.595,,3.02,-177.47,-1.45,-0.67,-0.4,-0.17,False,False,False,False,False,False,-0.067,0.022,True,False,LOW
19.63,,2.98,-177.06,-1.68,-0.65,-0.52,-0.24,False,False,False,False,False,False,-0.055,0.013,True,False,LOW
19.803,,3.68,-177.52,-1.22,-0.23,-1.04,-0.15,False,False,False,False,False,False,0.075,0.013,True,False,LOW
19.827,,3.65,-177.2,-1.27,-0.19,-1.06,-0.15,False,False,False,False,False,False,0.079,0.005,True,False,LOW
19.994,,3.53,-176.36,-1.16,-0.1,-0.68,-0.08,False,False,False,False,False,False,0.074,0.0,True,False,LOW
20.029,,2.91,-177.04,-1.24,-0.19,-0.74,-0.08,False,False,False,False,False,False,0.073,0.002,True,False,LOW
20.204,,3.1,-177.67,-1.12,-0.32,-1.22,-0.02,False,False,False,False,False,False,0.069,0.004,True,False,LOW
20.229,,4.15,-176.84,-0.94,-0.19,-1.16,0.01,False,False,False,False,False,False,0.064,0.003,True,False,LOW
20.405,,3.73,-177.2,-1.0,0.01,-1.17,0.08,False,False,False,False,False,False,0.066,0.003,True,False,LOW
20.43,,3.81,-175.35,-1.36,0.05,-0.91,0.05,False,False,False,False,False,False,-0.007,-0.003,True,False,LOW
20.616,,3.9,-174.53,-1.39,0.22,0.44,-0.11,False,False,False,False,False,False,-0.012,-0.001,True,False,LOW
20.639,,4.13,-174.87,-1.28,0.27,0.54,-0.11,False,False,False,False,False,False,-0.007,-0.004,True,False,LOW
20.807,,4.18,-174.68,-1.34,0.46,0.97,-0.15,False,False,False,False,False,False,-0.03,-0.007,True,False,LOW
20.831,,3.82,-175.28,-1.77,0.44,0.94,-0.21,False,False,False,False,False,False,-0.026,-0.003,True,False,LOW
21.017,,2.74,-175.67,-1.65,-0.24,0.62,-0.37,False,False,False,False,False,False,-0.052,-0.004,True,False,LOW
21.041,,4.18,-175.46,-1.51,-0.12,0.62,-0.37,False,False,False,False,False,False,-0.035,-0.002,True,False,LOW
21.205,,4.87,-175.57,-1.46,0.63,0.54,-0.34,False,False,False,False,False,False,-0.037,-0.003,True,False,LOW
21.229,,5.84,-174.82,-0.93,0.87,0.63,-0.26,False,False,False,False,False,False,-0.048,0.001,True,False,LOW
21.434,,6.97,-174.76,-1.08,2.37,0.99,-0.08,False,False,False,False,False,False,-0.026,0.002,True,False,LOW
21.461,,7.58,-175.77,-1.1,2.64,0.89,-0.06,False,False,False,False,False,False,0.053,-0.006,True,False,LOW
21.593,,7.19,-176.33,-1.19,3.12,0.34,-0.05,False,False,False,False,False,False,0.059,-0.004,True,False,LOW
21.615,,7.15,-175.0,-1.26,3.19,0.42,-0.06,False,False,False,False,False,False,0.052,-0.006,True,False,LOW
21.803,,7.99,-174.55,-0.73,3.89,1.0,0.2,False,False,False,False,False,False,0.059,-0.007,True,False,LOW
21.826,,8.1,-173.85,-0.9,3.98,1.16,0.21,False,False,False,False,False,False,0.027,-0.006,True,False,LOW
22.022,,8.14,-174.65,-0.88,4.33,1.28,0.24,False,False,False,False,False,False,0.026,-0.009,True,False,LOW
22.05,,8.86,-176.23,-1.14,4.49,1.05,0.21,False,False,False,False,False,False,0.005,0.008,True,False,LOW
22.202,,8.68,-177.43,-1.64,4.82,-0.19,-0.14,False,False,False,False,False,False,-0.003,0.02,True,False,LOW
22.224,,8.84,-176.28,-1.3,4.88,-0.2,-0.14,False,False,False,False,False,False,0.013,0.026,True,False,LOW
22.399,,8.69,-175.16,-1.33,5.02,0.36,-0.16,False,False,False,False,False,False,0.015,0.004,True,False,LOW
22.434,,7.35,-176.34,-1.29,4.8,0.24,-0.16,False,False,False,False,False,False,0.057,0.005,True,False,LOW
22.611,,7.56,-175.77,-0.95,4.39,0.25,0.03,False,False,False,False,False,False,0.059,0.006,True,False,LOW
22.637,,8.09,-175.46,-0.95,4.41,0.3,0.06,False,False,False,False,False,False,0.02,0.021,True,False,LOW
22.911,,8.58,-175.5,-1.15,4.81,0.44,0.02,False,False,False,False,False,False,0.03,0.007,True,False,LOW
22.934,,8.53,-174.98,-1.25,4.83,0.52,0.01,False,False,False,False,False,False,0.039,-0.0,True,False,LOW
23.041,,8.43,-174.47,-0.81,4.86,0.95,0.14,False,False,False,False,False,False,0.044,-0.004,True,False,LOW
23.066,,8.24,-175.35,-1.04,4.83,0.91,0.14,False,False,False,False,False,False,0.039,-0.002,True,False,LOW
23.2,,8.08,-173.96,-0.94,4.7,1.45,0.17,False,False,False,False,False,False,0.032,0.002,True,False,LOW
23.228,,8.03,-174.78,-1.1,4.67,1.42,0.15,False,False,False,False,False,False,0.033,0.002,True,False,LOW
23.404,,7.8,-174.59,-0.97,4.45,1.43,0.17,False,False,False,False,False,False,0.025,0.004,True,False,LOW
23.428,,7.73,-174.7,-1.12,4.42,1.42,0.15,False,False,False,False,False,False,0.028,0.004,True,False,LOW
23.595,,8.08,-174.91,-1.32,4.48,1.27,-0.02,False,False,False,False,False,False,0.012,0.01,True,False,LOW
23.618,,7.78,-174.53,-1.3,4.45,1.3,-0.03,False,False,False,False,False,False,0.013,0.007,True,False,LOW
23.804,,7.56,-174.61,-1.32,4.22,1.36,-0.11,False,False,False,False,False,False,0.034,0.007,True,False,LOW
23.827,,7.73,-174.31,-1.26,4.21,1.41,-0.11,False,False,False,False,False,False,0.033,0.007,True,False,LOW
24.001,,7.95,-173.91,-1.2,4.32,1.78,-0.08,False,False,False,False,False,False,0.024,-0.002,True,False,LOW
24.026,,7.85,-174.91,-1.43,4.32,1.69,-0.11,False,False,False,False,False,False,0.017,0.001,True,False,LOW
24.206,,8.23,-174.71,-1.31,4.51,1.49,-0.13,False,False,False,False,False,False,0.015,0.0,True,False,LOW
