elapsed_seconds,scenario_label,raw_yaw,raw_pitch,raw_roll,yaw,pitch,roll,yaw_suspicious,pitch_suspicious,roll_suspicious,dropout_suspicious,gaze_suspicious,suspicious,gaze_x,gaze_y,gaze_valid,device_detected,risk_level
16.331,,7.43,-173.36,-1.84,1.28,0.96,0.88,False,False,False,False,False,False,-0.015,-0.008,True,False,LOW
16.354,,7.74,-174.24,-2.01,1.32,0.85,0.86,False,False,False,False,False,False,-0.014,-0.006,True,False,LOW
16.473,,7.51,-172.84,-1.79,1.34,1.12,0.89,False,False,False,False,False,False,-0.012,-0.007,True,False,LOW
16.5,,7.63,-172.86,-1.77,1.36,1.17,0.9,False,False,False,False,False,False,-0.014,-0.009,True,False,LOW
16.608,,7.82,-172.93,-1.82,1.49,1.26,0.9,False,False,False,False,False,False,-0.011,-0.01,True,False,LOW
16.633,,7.73,-173.32,-1.69,1.5,1.23,0.92,False,False,False,False,False,False,0.019,-0.016,True,False,LOW
16.738,,7.69,-173.2,-1.66,1.51,1.19,0.98,False,False,False,False,False,False,0.011,-0.015,True,False,LOW
16.761,,7.32,-172.78,-1.7,1.47,1.23,0.98,False,False,False,False,False,False,0.021,-0.015,True,False,LOW
16.898,,7.65,-172.87,-1.72,1.48,1.34,0.99,False,False,False,False,False,False,0.029,-0.017,True,False,LOW
16.922,,7.53,-173.25,-1.65,1.47,1.3,1.0,False,False,False,False,False,False,0.03,-0.018,True,False,LOW
17.11,,7.63,-173.25,-1.75,1.48,1.18,0.99,False,False,False,False,False,False,0.029,-0.018,True,False,LOW
17.136,,7.83,-172.91,-1.76,1.5,1.21,0.99,False,False,False,False,False,False,0.034,-0.018,True,False,LOW
17.301,,7.82,-173.38,-1.83,1.59,1.08,0.94,False,False,False,False,False,False,0.035,-0.02,True,False,LOW
17.323,,8.83,-174.88,-2.15,1.73,0.87,0.89,False,False,False,False,False,False,0.012,0.049,False,False,LOW
17.503,,8.43,-173.25,-1.85,2.03,0.98,0.88,False,False,False,False,False,False,-0.001,-0.026,True,False,LOW
17.524,,7.66,-172.47,-1.9,1.96,1.08,0.88,False,False,False,False,False,False,-0.001,-0.024,True,False,LOW
17.706,,8.17,-173.27,-1.64,1.99,1.07,0.99,False,False,False,False,False,False,0.05,-0.019,True,False,LOW
17.731,,8.39,-172.86,-1.65,2.03,1.12,1.0,False,False,False,False,False,False,0.07,-0.013,True,False,LOW
17.908,,8.94,-172.95,-1.54,2.43,1.26,1.1,False,False,False,False,False,False,0.067,-0.017,True,False,LOW
17.93,,9.11,-173.5,-1.32,2.5,1.2,1.14,False,False,False,False,False,False,0.068,-0.01,True,False,LOW
18.101,,8.85,-173.73,-1.18,2.6,0.89,1.35,False,False,False,False,False,False,0.068,-0.016,True,False,LOW
18.123,,8.61,-173.11,-1.19,2.59,0.93,1.37,False,False,False,False,False,False,0.066,-0.013,True,False,LOW
18.314,,8.7,-173.58,-1.27,2.57,0.83,1.42,False,False,False,False,False,False,0.067,-0.014,True,False,LOW
18.335,,8.93,-172.36,-1.29,2.59,0.96,1.42,False,False,False,False,False,False,0.021,-0.019,True,False,LOW
18.497,,9.37,-171.85,-1.49,2.91,1.75,1.33,False,False,False,False,False,False,-0.006,-0.017,True,False,LOW
18.52,,9.53,-171.78,-1.5,2.97,1.85,1.31,False,False,False,False,False,False,-0.009,-0.015,True,False,LOW
18.71,,9.26,-171.77,-1.45,3.05,2.24,1.29,False,False,False,False,False,False,-0.009,-0.021,True,False,LOW
18.735,,9.58,-172.64,-1.63,3.1,2.16,1.26,False,False,False,False,False,False,-0.004,-0.021,True,False,LOW
18.898,,8.9,-172.47,-1.68,2.92,2.01,1.15,False,False,False,False,False,False,-0.005,-0.023,True,False,LOW
18.922,,9.22,-172.73,-1.73,2.94,1.95,1.13,False,False,False,False,False,False,0.016,-0.02,True,False,LOW
19.107,,9.07,-173.19,-1.4,2.93,1.51,1.24,False,False,False,False,False,False,0.051,-0.006,True,False,LOW
19.131,,8.96,-173.25,-1.44,2.91,1.45,1.24,False,False,False,False,False,False,0.055,-0.008,True,False,LOW
19.299,,8.95,-173.38,-1.54,2.86,1.19,1.21,False,False,False,False,False,False,0.063,-0.01,True,False,LOW
19.322,,8.82,-173.79,-1.65,2.83,1.1,1.2,False,False,False,False,False,False,0.066,-0.01,True,False,LOW
19.504,,8.69,-174.07,-1.6,2.68,0.64,1.16,False,False,False,False,False,False,0.067,-0.012,True,False,LOW
19.527,,9.02,-174.68,-1.58,2.7,0.51,1.16,False,False,False,False,False,False,0.07,-0.011,True,False,LOW
19.699,,8.56,-174.34,-1.64,2.55,0.23,1.12,False,False,False,False,False,False,0.065,-0.012,True,False,LOW
19.723,,8.8,-174.33,-1.52,2.56,0.2,1.13,False,False,False,False,False,False,0.068,-0.011,True,False,LOW
19.907,,8.98,-174.28,-1.6,2.71,0.12,1.13,False,False,False,False,False,False,0.068,-0.011,True,False,LOW
19.928,,9.31,-174.27,-1.54,2.76,0.11,1.13,False,False,False,False,False,False,0.061,-0.005,True,False,LOW
