elapsed_seconds,scenario_label,raw_yaw,raw_pitch,raw_roll,yaw,pitch,roll,yaw_suspicious,pitch_suspicious,roll_suspicious,dropout_suspicious,gaze_suspicious,suspicious,gaze_x,gaze_y,gaze_valid,device_detected,risk_level
20.109,,6.84,-175.02,-1.41,1.94,-0.16,-0.06,False,False,False,False,False,False,-0.006,0.01,True,False,LOW
20.132,,7.67,-173.28,-1.33,2.05,0.07,-0.04,False,False,False,False,False,False,0.016,-0.0,True,False,LOW
20.29,,6.92,-174.44,-1.55,2.03,0.25,-0.12,False,False,False,False,False,False,0.012,-0.004,True,False,LOW
20.315,,7.11,-173.19,-1.57,2.06,0.46,-0.13,False,False,False,False,False,False,0.007,-0.008,True,False,LOW
20.484,,6.64,-173.23,-1.6,1.89,1.08,-0.19,False,False,False,False,False,False,0.005,-0.01,True,False,LOW
20.509,,6.72,-173.5,-1.56,1.88,1.12,-0.19,False,False,False,False,False,False,0.033,-0.005,True,False,LOW
20.682,,7.07,-174.19,-1.56,2.03,0.88,-0.2,False,False,False,False,False,False,0.025,-0.009,True,False,LOW
20.706,,6.87,-173.14,-1.56,2.03,0.99,-0.2,False,False,False,False,False,False,0.03,-0.01,True,False,LOW
20.874,,6.62,-172.91,-1.63,1.87,1.5,-0.24,False,False,False,False,False,False,0.014,-0.013,True,False,LOW
20.899,,7.01,-172.6,-1.56,1.9,1.61,-0.23,False,False,False,False,False,False,0.013,-0.018,True,False,LOW
21.07,,7.1,-172.96,-1.57,2.06,1.76,-0.22,False,False,False,False,False,False,0.013,-0.019,True,False,LOW
21.092,,6.66,-173.32,-1.77,2.02,1.73,-0.25,False,False,False,False,False,False,0.014,-0.016,True,False,LOW
21.263,,7.57,-173.48,-1.98,2.36,1.55,-0.44,False,False,False,False,False,False,0.003,-0.002,True,False,LOW
21.287,,7.92,-173.51,-2.08,2.45,1.52,-0.48,False,False,False,False,False,False,0.014,-0.009,True,False,LOW
21.469,,7.65,-172.1,-1.47,2.61,2.19,-0.29,False,False,False,False,False,False,0.009,-0.01,True,False,LOW
21.494,,6.73,-172.06,-1.51,2.51,2.27,-0.27,False,False,False,False,False,False,0.019,-0.016,True,False,LOW
21.661,,5.91,-176.72,-1.96,1.72,0.08,-0.44,False,False,False,False,False,False,0.015,-0.009,True,False,LOW
21.684,,6.45,-175.04,-1.91,1.7,0.05,-0.46,False,False,False,False,False,False,0.015,-0.006,True,False,LOW
21.87,,7.35,-173.9,-1.73,2.1,0.54,-0.41,False,False,False,False,False,False,0.021,-0.01,True,False,LOW
21.894,,8.01,-173.18,-1.44,2.24,0.7,-0.37,False,False,False,False,False,False,0.011,-0.013,True,False,LOW
22.062,,7.63,-173.87,-1.53,2.5,0.85,-0.27,False,False,False,False,False,False,0.016,-0.01,True,False,LOW
22.086,,8.03,-176.06,-1.36,2.58,0.57,-0.23,False,False,False,False,False,False,0.049,-0.006,True,False,LOW
22.27,,5.58,-175.69,-0.6,1.55,-0.2,0.3,False,False,False,False,False,False,0.043,-0.001,True,False,LOW
22.296,,5.24,-173.28,-0.45,1.38,0.04,0.39,False,False,False,False,False,False,0.005,-0.007,True,False,LOW
22.463,,5.77,-174.97,-0.74,1.11,-0.04,0.51,False,False,False,False,False,False,-0.001,-0.005,True,False,LOW
22.487,,5.14,-176.11,-0.84,0.99,-0.2,0.51,False,False,False,False,False,False,-0.002,-0.007,True,False,LOW
22.67,,5.66,-175.33,-0.54,0.87,-0.35,0.67,False,False,False,False,False,False,-0.01,-0.002,True,False,LOW
22.692,,6.07,-176.25,-0.82,0.9,-0.49,0.66,False,False,False,False,False,False,-0.002,-0.004,True,False,LOW
22.869,,6.32,-175.87,-0.8,1.18,-0.77,0.6,False,False,False,False,False,False,-0.002,-0.005,True,False,LOW
22.893,,6.48,-174.68,-0.63,1.23,-0.64,0.62,False,False,False,False,False,False,0.06,0.006,True,False,LOW
23.075,,6.44,-175.24,-0.72,1.4,-0.5,0.63,False,False,False,False,False,False,0.066,0.005,True,False,LOW
23.097,,6.16,-176.57,-0.69,1.38,-0.65,0.63,False,False,False,False,False,False,0.065,-0.001,True,False,LOW
23.268,,6.25,-176.93,-0.48,1.36,-1.4,0.76,False,False,False,False,False,False,0.062,0.002,True,False,LOW
23.292,,5.53,-176.41,-0.52,1.27,-1.42,0.77,False,False,False,False,False,False,0.057,0.001,True,False,LOW
23.475,,5.78,-176.89,-0.66,1.06,-1.75,0.73,False,False,False,False,False,False,0.039,0.022,True,False,LOW
23.498,,6.5,-177.29,-0.66,1.13,-1.84,0.72,False,False,False,False,False,False,0.063,0.018,True,False,LOW
23.674,,6.19,-176.14,-0.2,1.21,-1.55,0.95,False,False,False,False,False,False,0.065,0.01,True,False,LOW
23.699,,6.78,-176.71,-0.45,1.31,-1.59,0.95,False,False,False,False,False,False,0.067,0.011,True,False,LOW
23.876,,7.46,-176.48,-0.74,1.98,-1.6,0.77,False,False,False,False,False,False,0.068,0.007,True,False,LOW
23.898,,8.04,-176.5,-0.8,2.14,-1.61,0.74,False,False,False,False,False,False,0.07,0.008,True,False,LOW
24.066,,7.21,-175.68,-0.98,2.23,-1.2,0.55,False,False,False,False,False,False,0.071,0.006,True,False,LOW
24.087,,8.24,-176.1,-0.66,2.37,-1.21,0.57,False,False,False,False,False,False,0.076,0.007,True,False,LOW
24.395,,8.54,-176.49,-0.62,3.22,-1.49,0.68,False,False,False,False,False,False,0.073,0.008,True,False,LOW
24.417,,8.05,-175.55,-0.73,3.21,-1.39,0.67,False,False,False,False,False,False,0.082,0.012,True,False,LOW
24.526,,8.64,-176.22,-0.61,3.43,-1.38,0.7,False,False,False,False,False,False,0.087,0.01,True,False,LOW
24.548,,8.42,-175.35,-0.29,3.44,-1.26,0.75,False,False,False,False,False,False,0.082,0.008,True,False,LOW
24.689,,7.43,-176.07,-0.4,3.01,-1.24,0.85,False,False,False,False,False,False,0.089,0.006,True,False,LOW
24.712,,7.85,-175.79,-0.19,3.0,-1.2,0.89,False,False,False,False,False,False,0.074,0.007,True,False,LOW
24.862,,6.96,-175.75,-0.36,2.54,-1.05,0.94,False,False,False,False,False,False,0.071,0.009,True,False,LOW
24.886,,6.92,-174.64,-0.34,2.47,-0.88,0.95,False,False,False,False,False,False,0.062,0.006,True,False,LOW
25.071,,6.28,-174.08,-0.48,1.87,0.04,0.91,False,False,False,False,False,False,0.062,0.005,True,False,LOW
25.097,,6.44,-175.31,-0.62,1.83,-0.03,0.88,False,False,False,False,False,False,0.066,0.007,True,False,LOW
25.263,,7.1,-175.51,-0.74,2.02,-0.35,0.75,False,False,False,False,False,False,0.063,0.008,True,False,LOW
25.287,,7.71,-176.88,-1.06,2.13,-0.59,0.68,False,False,False,False,False,False,0.068,0.009,True,False,LOW
25.47,,8.3,-178.72,-1.02,2.82,-2.41,0.5,False,False,False,False,False,False,0.059,0.012,True,False,LOW
25.493,,7.55,-179.45,-0.92,2.8,-2.72,0.49,False,False,False,False,False,False,0.063,0.015,True,False,LOW
25.665,,7.57,-178.26,-0.81,2.73,-3.09,0.52,False,False,False,False,False,False,0.061,0.011,True,False,LOW
25.687,,7.46,-178.25,-0.78,2.71,-3.13,0.52,False,False,False,False,False,False,0.06,0.012,True,False,LOW
25.871,,7.04,-178.71,-0.6,2.4,-3.53,0.65,False,False,False,False,False,False,0.061,0.011,True,False,LOW
25.896,,7.36,-178.37,-0.58,2.41,-3.52,0.67,False,False,False,False,False,False,0.064,0.013,True,False,LOW
26.067,,7.26,-178.3,-0.67,2.38,-3.48,0.68,False,False,False,False,False,False,0.067,0.013,True,False,LOW
26.092,,6.59,-178.53,-0.72,2.29,-3.51,0.67,False,False,False,False,False,False,0.068,0.012,True,False,LOW
26.273,,6.63,-178.11,-0.82,1.99,-3.37,0.6,False,False,False,False,False,False,0.059,0.012,True,False,LOW
26.297,,6.51,-178.39,-0.94,1.94,-3.39,0.57,False,False,False,False,False,False,0.055,0.006,True,False,LOW
26.465,,6.68,-178.51,-0.93,1.86,-3.52,0.5,False,False,False,False,False,False,0.059,0.011,True,False,LOW
26.492,,6.94,-177.91,-0.92,1.88,-3.46,0.49,False,False,False,False,False,False,0.058,0.009,True,False,LOW
26.66,,6.82,-178.11,-1.0,1.9,-3.35,0.42,False,False,False,False,False,False,0.06,0.011,True,False,LOW
26.687,,7.11,-178.21,-0.99,1.95,-3.35,0.41,False,False,False,False,False,False,0.057,0.007,True,False,LOW
26.868,,7.01,-178.81,-1.08,2.03,-3.67,0.34,False,False,False,False,False,False,0.061,0.008,True,False,LOW
26.895,,7.1,-179.02,-1.07,2.06,-3.74,0.33,False,False,False,False,False,False,0.062,0.008,True,False,LOW
27.061,,7.45,-179.25,-1.07,2.31,-4.08,0.31,False,False,False,False,False,False,0.063,0.004,True,False,LOW
27.085,,7.42,-179.49,-1.1,2.34,-4.16,0.3,False,False,False,False,False,False,0.061,0.006,True,False,LOW
27.269,,7.23,-178.75,-1.11,2.33,-4.01,0.27,False,False,False,False,False,False,0.059,0.011,True,False,LOW
27.294,,7.11,-178.72,-1.19,2.32,-3.99,0.26,False,False,False,False,False,False,0.06,0.01,True,False,LOW
27.46,,6.95,-177.97,-1.09,2.18,-3.54,0.26,False,False,False,False,False,False,0.06,0.009,True,False,LOW
27.485,,7.2,-178.03,-1.08,2.2,-3.49,0.26,False,False,False,False,False,False,0.06,0.007,True,False,LOW
27.671,,7.43,-177.85,-0.99,2.38,-3.22,0.32,False,False,False,False,False,False,0.066,0.008,True,False,LOW
27.697,,7.24,-177.69,-1.05,2.37,-3.16,0.32,False,False,False,False,False,False,0.058,0.008,True,False,LOW
27.859,,7.36,-177.98,-1.03,2.42,-3.14,0.32,False,False,False,False,False,False,0.06,0.01,True,False,LOW
27.885,,7.74,-177.39,-1.47,2.48,-3.05,0.26,False,False,False,False,False,False,0.013,0.032,True,False,LOW
28.081,,8.03,-177.22,-1.74,2.84,-2.66,-0.1,False,False,False,False,False,False,0.001,0.012,True,False,LOW
28.105,,6.81,-176.76,-1.44,2.72,-2.56,-0.1,False,False,False,False,False,False,-0.006,0.006,True,False,LOW
28.264,,6.2,-175.93,-1.54,2.0,-1.79,-0.14,False,False,False,False,False,False,-0.011,0.003,True,False,LOW
28.288,,6.6,-176.48,-1.55,1.95,-1.77,-0.15,False,False,False,False,False,False,0.005,-0.0,True,False,LOW
28.473,,6.72,-176.24,-1.43,1.88,-1.56,-0.11,False,False,False,False,False,False,0.031,0.003,True,False,LOW
28.496,,6.43,-176.85,-1.43,1.84,-1.61,-0.1,False,False,False,False,False,False,0.03,-0.0,True,False,LOW
28.662,,6.82,-176.35,-1.44,1.88,-1.55,-0.09,False,False,False,False,False,False,0.032,0.001,True,False,LOW
28.687,,6.47,-176.64,-1.43,1.84,-1.58,-0.09,False,False,False,False,False,False,0.028,0.0,True,False,LOW
28.872,,6.89,-177.06,-1.2,1.92,-1.92,0.04,False,False,False,False,False,False,0.074,0.009,True,False,LOW
28.896,,6.65,-176.63,-1.11,1.9,-1.9,0.07,False,False,False,False,False,False,0.069,0.001,True,False,LOW
29.052,,6.22,-176.54,-1.2,1.61,-1.79,0.11,False,False,False,False,False,False,0.068,0.0,True,False,LOW
29.084,,6.94,-176.61,-1.1,1.68,-1.78,0.14,False,False,False,False,False,False,0.069,-0.0,True,False,LOW
29.264,,7.11,-176.86,-1.2,1.96,-1.9,0.15,False,False,False,False,False,False,0.064,0.001,True,False,LOW
29.287,,6.9,-177.08,-1.21,1.97,-1.94,0.15,False,False,False,False,False,False,0.062,0.002,True,False,LOW
29.454,,7.12,-176.98,-1.27,2.1,-2.03,0.11,False,False,False,False,False,False,0.045,0.02,True,False,LOW
29.488,,7.41,-178.53,-1.61,2.17,-2.34,0.05,False,False,False,False,False,False,0.036,0.028,True,False,LOW
29.664,,6.36,-177.35,-1.68,1.8,-2.42,-0.15,False,False,False,False,False,False,0.065,0.014,True,False,LOW
29.687,,6.33,-178.01,-1.63,1.75,-2.52,-0.16,False,False,False,False,False,False,0.062,0.011,True,False,LOW
29.853,,6.83,-178.02,-1.61,1.84,-2.85,-0.21,False,False,False,False,False,False,0.066,0.006,True,False,LOW
29.885,,7.19,-177.5,-1.41,1.92,-2.82,-0.18,False,False,False,False,False,False,0.065,0.006,True,False,LOW
30.061,,6.88,-177.3,-1.4,1.95,-2.62,-0.11,False,False,False,False,False,False,0.065,0.006,True,False,LOW
30.085,,6.52,-176.82,-1.48,1.91,-2.53,-0.11,False,False,False,False,False,False,0.058,0.005,True,False,LOW
30.258,,7.1,-176.89,-1.37,2.06,-2.27,-0.06,False,False,False,False,False,False,0.06,0.003,True,False,LOW
30.286,,6.78,-177.73,-1.56,2.03,-2.36,-0.08,False,False,False,False,False,False,0.059,0.005,True,False,LOW
30.461,,6.63,-176.7,-1.4,1.87,-2.09,-0.06,False,False,False,False,False,False,0.065,0.007,True,False,LOW
30.483,,7.11,-176.11,-1.53,1.91,-1.98,-0.08,False,False,False,False,False,False,0.026,0.004,True,False,LOW
30.654,,6.61,-177.14,-1.58,1.81,-2.14,-0.15,False,False,False,False,False,False,-0.007,0.0,True,False,LOW
30.685,,6.87,-176.84,-1.53,1.84,-2.11,-0.16,False,False,False,False,False,False,-0.015,0.004,True,False,LOW
30.866,,6.43,-177.47,-1.65,1.67,-2.38,-0.23,False,False,False,False,False,False,-0.018,0.006,True,False,LOW
30.889,,6.28,-177.22,-1.59,1.64,-2.37,-0.23,False,False,False,False,False,False,-0.014,0.005,True,False,LOW
31.058,,5.69,-175.79,-1.59,1.19,-1.62,-0.23,False,False,False,False,False,False,-0.012,0.004,True,False,LOW
31.085,,5.64,-175.64,-1.54,1.13,-1.49,-0.23,False,False,False,False,False,False,-0.013,0.002,True,False,LOW
31.267,,5.94,-177.22,-1.41,1.08,-1.96,-0.13,False,False,False,False,True,True,-0.006,0.059,True,False,LOW
31.291,,6.89,-176.93,-1.53,1.2,-1.97,-0.14,False,False,False,False,False,False,-0.011,0.002,True,False,LOW
