elapsed_seconds,scenario_label,raw_yaw,raw_pitch,raw_roll,yaw,pitch,roll,yaw_suspicious,pitch_suspicious,roll_suspicious,dropout_suspicious,gaze_suspicious,suspicious,gaze_x,gaze_y,gaze_valid,device_detected,risk_level
17.442,,5.06,-168.83,-0.4,2.54,-0.62,-0.4,False,False,False,False,False,False,0.003,-0.001,True,False,LOW
17.465,,5.71,-168.61,-0.46,2.62,-0.59,-0.41,False,False,False,False,False,False,0.004,-0.0,True,False,LOW
17.577,,5.71,-168.87,-0.44,2.86,-0.62,-0.42,False,False,False,False,False,False,-0.002,-0.004,True,False,LOW
17.603,,5.58,-168.9,-0.55,2.89,-0.63,-0.44,False,False,False,False,False,False,0.003,-0.004,True,False,LOW
17.717,,5.57,-169.24,-0.36,2.96,-0.8,-0.41,False,False,False,False,False,False,0.021,-0.001,True,False,LOW
17.742,,5.59,-168.75,-0.28,2.97,-0.76,-0.39,False,False,False,False,False,False,0.038,-0.011,True,False,LOW
17.847,,5.55,-168.69,-0.27,3.0,-0.65,-0.34,False,False,False,False,False,False,0.035,-0.01,True,False,LOW
17.872,,5.83,-168.7,-0.25,3.04,-0.63,-0.33,False,False,False,False,False,False,0.036,-0.011,True,False,LOW
18.047,,5.8,-168.47,-0.24,3.17,-0.43,-0.28,False,False,False,False,False,False,0.04,-0.011,True,False,LOW
18.07,,6.05,-168.75,-0.23,3.21,-0.45,-0.28,False,False,False,False,False,False,0.039,-0.01,True,False,LOW
18.242,,6.17,-168.43,-0.31,3.44,-0.33,-0.29,False,False,False,False,False,False,0.042,-0.011,True,False,LOW
18.273,,6.06,-168.18,-0.21,3.46,-0.27,-0.28,False,False,False,False,False,False,0.048,0.001,True,False,LOW
18.451,,5.82,-168.83,-0.47,3.37,-0.45,-0.38,False,False,False,False,False,False,0.015,0.057,False,False,LOW
18.474,,6.36,-168.55,-0.42,3.43,-0.44,-0.39,False,False,False,False,False,False,-0.005,0.002,True,False,LOW
18.64,,5.99,-168.73,-0.47,3.45,-0.48,-0.43,False,False,False,False,False,False,0.001,-0.002,True,False,LOW
18.676,,5.73,-168.76,-0.52,3.41,-0.49,-0.45,False,False,False,False,False,False,-0.008,-0.0,True,False,LOW
18.849,,6.2,-168.25,-0.69,3.55,-0.26,-0.57,False,False,False,False,False,False,0.004,-0.003,True,False,LOW
18.871,,6.16,-168.38,-0.67,3.56,-0.25,-0.59,False,False,False,False,False,False,-0.009,0.002,True,False,LOW
19.04,,6.14,-168.96,-0.63,3.59,-0.51,-0.61,False,False,False,False,False,False,-0.011,0.001,True,False,LOW
19.073,,5.89,-168.91,-0.66,3.55,-0.54,-0.62,False,False,False,False,False,False,-0.014,-0.002,True,False,LOW
19.25,,5.79,-168.79,-0.7,3.4,-0.56,-0.66,False,False,False,False,False,False,-0.017,-0.002,True,False,LOW
19.273,,5.7,-168.99,-0.72,3.38,-0.59,-0.67,False,False,False,False,False,False,-0.014,-0.001,True,False,LOW
19.444,,6.16,-168.41,-0.66,3.51,-0.39,-0.66,False,False,False,False,False,False,-0.007,-0.002,True,False,LOW
19.473,,5.75,-168.66,-0.63,3.47,-0.4,-0.66,False,False,False,False,False,False,-0.012,-0.003,True,False,LOW
19.65,,5.55,-167.95,-0.95,3.24,-0.05,-0.81,False,False,False,False,False,False,0.015,0.057,False,False,LOW
19.673,,3.71,-166.81,-0.47,2.96,0.14,-0.77,False,False,False,False,False,False,-0.011,0.024,True,False,LOW
19.841,,1.26,-166.75,-1.04,0.66,0.84,-0.91,False,False,False,False,False,False,-0.014,0.033,True,False,LOW
19.872,,-0.57,-165.6,-1.14,-0.07,1.16,-0.95,False,False,False,False,False,False,-0.019,0.02,True,False,LOW
