elapsed_seconds,scenario_label,raw_yaw,raw_pitch,raw_roll,yaw,pitch,roll,yaw_suspicious,pitch_suspicious,roll_suspicious,dropout_suspicious,gaze_suspicious,suspicious,gaze_x,gaze_y,gaze_valid,device_detected,risk_level
32.199,,5.37,-176.86,-1.53,-0.57,-1.63,-0.35,False,False,False,False,False,False,-0.021,0.006,True,False,LOW
32.222,,5.98,-177.62,-1.28,-0.5,-1.73,-0.32,False,False,False,False,False,False,0.024,0.007,True,False,LOW
32.344,,6.02,-176.92,-1.18,-0.24,-1.71,-0.18,False,False,False,False,False,False,0.026,-0.0,True,False,LOW
32.369,,5.89,-177.73,-1.34,-0.22,-1.82,-0.18,False,False,False,False,False,False,0.04,0.0,True,False,LOW
32.521,,5.78,-177.08,-1.22,-0.19,-1.84,-0.11,False,False,False,False,False,False,0.034,-0.0,True,False,LOW
32.552,,6.09,-177.17,-1.22,-0.14,-1.85,-0.1,False,False,False,False,False,False,0.036,-0.001,True,False,LOW
32.728,,5.54,-177.32,-1.13,-0.28,-1.98,-0.03,False,False,False,False,False,False,0.035,-0.001,True,False,LOW
32.752,,6.0,-176.97,-1.12,-0.23,-1.95,-0.01,False,False,False,False,False,False,0.013,0.008,True,False,LOW
32.924,,6.4,-177.87,-1.33,0.13,-2.31,-0.09,False,False,False,False,False,False,0.024,0.015,True,False,LOW
32.953,,6.5,-177.19,-1.43,0.2,-2.26,-0.11,False,False,False,False,False,False,0.032,0.012,True,False,LOW
33.134,,6.38,-177.24,-1.43,0.32,-2.12,-0.19,False,False,False,False,False,False,0.03,0.01,True,False,LOW
33.157,,6.73,-176.41,-1.45,0.38,-2.0,-0.2,False,False,False,False,False,False,-0.008,0.0,True,False,LOW
33.327,,6.81,-177.02,-1.42,0.64,-1.89,-0.22,False,False,False,False,False,False,-0.004,-0.003,True,False,LOW
33.353,,6.98,-176.49,-1.53,0.69,-1.8,-0.24,False,False,False,False,False,False,-0.03,-0.002,True,False,LOW
33.536,,7.09,-176.32,-1.47,0.94,-1.41,-0.27,False,False,False,False,False,False,-0.037,-0.001,True,False,LOW
33.563,,7.11,-176.48,-1.6,0.97,-1.39,-0.29,False,False,False,False,False,False,-0.034,-0.003,True,False,LOW
